source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	bold_tasks	bold_timepoints	bold_trs	datatypes
ds003020	sub-UTS02	ses-20	6	0	0	1187704887	0	3794.0	632.3333333333334	2286144	381024.0	cautioneating,jugglingandjesus,mayorofthefreaks,thecurse,theinterview,thetriangleshirtwaistconnection	1897	{"2.0":6}	func
ds003020	sub-UTS02	ses-3	6	0	0	1871982532	0	4558.0	759.6666666666666	2286144	381024.0	howtodraw,life,myfirstdaywiththeyankees,naked,undertheinfluence,wheretheressmoke	2279	{"2.0":6}	func
ds003020	sub-UTS02	ses-4	6	0	0	1872967012	0	4558.0	759.6666666666666	2286144	381024.0	exorcism,fromboyhoodtofatherhood,sloth,stagefright,tildeath,wheretheressmoke	2279	{"2.0":6}	func
ds003020	sub-UTS02	ses-5	7	0	0	1987506612	0	4820.0	688.5714285714286	2667168	381024.0	adollshouse,adventuresinsayingyes,buck,haveyoumethimyet,inamoment,theclosetthatateeverything,wheretheressmoke	2410	{"2.0":7}	func
ds003020	sub-UTS02	ses-6	6	0	0	1868519196	0	4576.0	762.6666666666666	2286144	381024.0	eyespy,hangtime,itsabox,swimmingwithastronauts,thatthingonmyarm,wheretheressmoke	2288	{"2.0":6}	func
ds003020	sub-UTS02	ses-7	6	0	0	1429168689	0	4600.0	766.6666666666666	2286144	381024.0	breakingupintheageofgoogle,onlyonewaytofindout,penpal,shoppinginchina,treasureisland,wheretheressmoke	2300	{"2.0":6}	func
ds003020	sub-UTS02	ses-8	7	0	0	1415945865	0	4568.0	652.5714285714286	2667168	381024.0	backsideofthestorm,goingthelibertyway,kiksuya,sweetaspie,thepostmanalwayscalls,thetiniestbouquet,wheretheressmoke	2284	{"2.0":7}	func
ds003020	sub-UTS02	ses-9	6	0	0	1400479470	0	4514.0	752.3333333333334	2286144	381024.0	becomingindian,lifeanddeathontheoregontrail,thefreedomridersandme,thumbsup,waitingtogo,wheretheressmoke	2257	{"2.0":6}	func
ds003020	sub-UTS03	ses-1	7	1	0	881847994	3555812	2150.0	307.14285714285717	2667168	381024.0	CategoryLocalizer1,CategoryLocalizer2,CategoryLocalizer3,MotorLocalizer	1075	{"2.0":7}	anat,func
ds003020	sub-UTS03	ses-10	7	0	0	1400127470	0	4510.0	644.2857142857143	2667168	381024.0	catfishingstrangerstofindmyself,christmas1940,gpsformylostidentity,singlewomanseekingmanwich,superheroesjustforeachother,whenmothersbullyback,wheretheressmoke	2255	{"2.0":7}	func
